id	rate
19057	.10
19059	.07
19061	.29
19063	.03
19065	.22
19067	.07
19069	.13
19071	.10
19073	.04
19075	.16
19077	.08
19079	.08
19081	.06
19083	.15
19085	.10
19087	.15
19089	.09
19091	.08
19093	.13
19095	.20
19097	.26
19099	.09
19101	.05
19103	.16
19105	.30
19107	.15
19109	.06
19111	.18
19113	.15
19115	.12
19117	.04
19119	.15
19121	.06
19123	.19
19125	.11
19127	.15
19129	.10
19131	.17
19133	.19
19135	.03
19137	.15
19139	.19
19141	.11
19143	.15
19145	.09
19147	.06
19149	.12
19151	.03
19153	.11
19155	.10
19157	.08
19159	.02
19161	.10
19163	.31
19165	.15
19167	.18
19169	.15
19171	.16
19173	.11
19175	.02
19177	.08
19179	.09
19181	.07
19183	.17
19185	.05
19187	.06
19189	.06
19191	.24
19193	.13
19195	.06
19197	.06
20001	.03
20003	.04
20005	.11
20007	.03
20009	.06
20011	.05
20013	.05
20015	.08
20017	.04
20019	.00
20021	.12
20023	.09
20025	.02
20027	.03
20029	.05
20031	.02
20033	.05
20035	.08
20037	.01
20039	.07
20041	.07
20043	.10
20045	.06
20047	.16
20049	.06
20051	.01
20053	.04
20055	.26
20057	.14
20059	.03
20061	.04
20063	.05
20065	.03
20067	.24
20069	.27
20071	.07
20073	.02
20075	.06
20077	.10
20079	.12
20081	.34
20083	.04
20085	.02
20087	.07
20089	.06
20091	.09
20093	.16
20095	.08
20097	.13
20099	.01
20101	.04
20103	.04
20105	.05
20107	.02
20109	.05
20111	.04
20113	.08
20115	.08
20117	.04
20119	.19
20121	.04
20123	.03
20125	.02
20127	.03
20129	.11
20131	.05
20133	.04
20135	.07
20137	.03
20139	.03
20141	.02
20143	.02
20145	.08
20147	.09
20149	.04
20151	.18
20153	.03
20155	.07
20157	.14
20159	.08
20161	.08
20163	.01
20165	.01
20167	.00
20169	.05
20171	.08
20173	.07
20175	.25
20177	.08
20179	.18
20181	.11
20183	.06
20185	.15
20187	.18
20189	.29
20191	.02
20193	.14
20195	.01
20197	.01
20199	.10
20201	.04
20203	.07
20205	.04
20207	.02
20209	.23
21001	.07
21003	.02
21005	.03
21007	.09
21009	.07
21011	.05
21013	.00
21015	.07
21017	.08
21019	.01
21021	.04
21023	.10
21025	.05
21027	.07
21029	.02
21031	.04
21033	.10
21035	.05
21037	.04
21039	.09
21041	.06
21043	.02
21045	.05
21047	.30
21049	.03
21051	.06
21053	.03
21055	.01
21057	.03
21059	.18
21061	.04
21063	.03
21065	.02
21067	.05
21069	.04
21071	.01
21073	.04
21075	.09
21077	.06
21079	.05
21081	.03
21083	.06
21085	.06
21087	.06
21089	.02
21091	.10
21093	.14
21095	.00
21097	.06
21099	.09
21101	.12
21103	.06
21105	.12
21107	.13
21109	.04
21111	.05
21113	.09
21115	.03
21117	.03
21119	.00
21121	.02
21123	.06
21125	.03
21127	.01
21129	.03
21131	.00
21133	.06
21135	.04
21137	.06
21139	.01
21141	.26
21143	.09
21145	.05
21147	.01
21149	.21
21151	.04
21153	.01
21155	.07
21157	.01
21159	.00
21161	.07
21163	.05
21165	.04
21167	.05
21169	.04
21171	.03
21173	.04
21175	.02
21177	.07
21179	.04
21181	.04
21183	.06
21185	.09
21187	.05
21189	.04
21191	.04
21193	.00
21195	.00
21197	.03
21199	.04
21201	.04
21203	.08
21205	.02
21207	.02
21209	.07
21211	.08
21213	.22
21215	.07
21217	.09
21219	.35
21221	.16
21223	.10
21225	.17
21227	.13
21229	.05
21231	.06
21233	.12
21235	.05
21237	.01
21239	.07
22001	.30
22003	.23
22005	.35
22007	.45
22009	.62
22011	.06
22013	.06
22015	.05
22017	.28
22019	.09
22021	.30
22023	.18
22025	.50
22027	.01
22029	.60
22031	.06
22033	.04
22035	.37
22037	.02
22039	.32
22041	.58
22043	.21
22045	.34
22047	.59
22049	.11
22051	.05
22053	.22
22055	.20
