id, rate
28133, 0.30
28135, 0.36
28137, 0.10
28139, 0.06
28141, 0.08
28143, 0.25
28145, 0.02
28147, 0.02
28149, 0.38
28151, 0.41
28153, 0.01
28155, 0.30
28157, 0.08
28159, 0.00
28161, 0.28
28163, 0.47
29001, 0.01
29003, 0.06
29005, 0.14
29007, 0.13
29009, 0.03
29011, 0.08
29013, 0.06
29015, 0.00
29017, 0.01
29019, 0.05
29021, 0.07
29023, 0.07
29025, 0.03
29027, 0.07
29029, 0.01
29031, 0.03
29033, 0.07
29035, 0.00
29037, 0.06
29039, 0.00
29041, 0.10
29043, 0.06
29045, 0.13
29047, 0.04
29049, 0.05
29051, 0.03
29053, 0.09
29055, 0.01
29057, 0.06
29059, 0.01
29061, 0.05
29063, 0.05
29065, 0.00
29067, 0.02
29069, 0.40
29071, 0.02
29073, 0.08
29075, 0.09
29077, 0.04
29079, 0.04
29081, 0.02
29083, 0.04
29085, 0.00
29087, 0.11
29089, 0.09
29091, 0.02
29093, 0.00
29095, 0.07
29097, 0.04
29099, 0.05
29101, 0.03
29103, 0.04
29105, 0.01
29107, 0.09
29109, 0.05
29111, 0.09
29113, 0.13
29115, 0.03
29117, 0.07
29119, 0.01
29121, 0.05
29123, 0.01
29125, 0.00
29127, 0.12
29129, 0.03
29131, 0.02
29133, 0.10
29135, 0.04
29137, 0.07
29139, 0.10
29141, 0.01
29143, 0.20
29145, 0.02
29147, 0.07
29149, 0.01
29151, 0.05
29153, 0.02
29155, 0.24
29157, 0.08
29159, 0.06
29161, 0.00
29163, 0.14
29165, 0.10
29167, 0.02
29169, 0.01
29171, 0.02
29173, 0.09
29175, 0.05
29177, 0.04
29179, 0.00
29181, 0.02
29183, 0.26
29185, 0.02
29186, 0.07
29187, 0.01
29189, 0.09
29195, 0.15
29197, 0.03
29199, 0.08
29201, 0.11
29203, 0.01
29205, 0.08
29207, 0.15
29209, 0.03
29211, 0.03
29213, 0.02
29215, 0.02
29217, 0.03
29219, 0.08
29221, 0.00
29223, 0.00
29225, 0.03
29227, 0.01
29229, 0.02
30001, 0.03
30003, 0.06
30005, 0.01
30007, 0.04
30009, 0.08
30011, 0.04
30013, 0.04
30015, 0.03
30017, 0.04
30019, 0.02
30021, 0.03
30023, 0.00
30025, 0.02
30027, 0.02
30029, 0.07
30031, 0.03
30033, 0.00
30035, 0.03
30037, 0.01
30039, 0.01
30041, 0.02
30043, 0.00
30045, 0.02
30047, 0.02
30049, 0.01
30051, 0.01
30053, 0.01
30055, 0.01
30057, 0.02
30059, 0.00
30061, 0.00
30063, 0.00
30065, 0.00
30067, 0.02
30069, 0.02
30071, 0.01
30073, 0.01
30075, 0.02
30077, 0.00
30079, 0.06
30081, 0.00
30083, 0.07
30085, 0.00
30087, 0.03
30089, 0.01
30091, 0.00
30093, 0.00
30095, 0.03
30097, 0.01
30099, 0.02
30101, 0.01
30103, 0.17
30105, 0.01
30107, 0.00
30109, 0.01
30111, 0.05
31001, 0.43
31003, 0.28
31005, 0.06
31007, 0.03
31009, 0.00
31011, 0.35
31013, 0.11
31015, 0.06
31017, 0.28
31019, 0.42
31021, 0.06
31023, 0.29
31025, 0.05
31027, 0.17
31029, 0.30
31031, 0.04
31033, 0.03
31035, 0.51
31037, 0.18
31039, 0.19
31041, 0.24
31043, 0.12
31045, 0.02
31047, 0.43
31049, 0.06
31051, 0.11
31053, 0.20
31055, 0.23
31057, 0.29
31059, 0.41
31061, 0.36
31063, 0.19
31065, 0.15
31067, 0.09
31069, 0.11
31071, 0.06
31073, 0.35
31075, 0.00
31077, 0.39
31079, 0.44
31081, 0.66
31083, 0.24
31085, 0.16
31087, 0.09
31089, 0.20
31091, 0.00
31093, 0.34
31095, 0.18
31097, 0.10
31099, 0.46
31101, 0.18
31103, 0.09
31105, 0.03
31107, 0.12
31109, 0.04
31111, 0.27
31113, 0.11
31115, 0.04
31117, 0.02
31119, 0.23
31121, 0.36
31123, 0.12
31125, 0.30
31127, 0.04
31129, 0.24
31131, 0.11
31133, 0.07
31135, 0.17
31137, 0.48
31139, 0.24
31141, 0.37
31143, 0.49
31145, 0.14
31147, 0.11
31149, 0.06
31151, 0.14
31153, 0.20
31155, 0.14
31157, 0.18
31159, 0.21
31161, 0.05
31163, 0.29
31165, 0.08
31167, 0.20
31169, 0.26
31171, 0.14
31173, 0.19
31175, 0.30
31177, 0.04
31179, 0.12
31181, 0.16
31183, 0.18
31185, 0.54
32001, 0.08
32003, 0.00
32005, 0.10
32007, 0.01
32009, 0.15
32011, 0.18
32013, 0.11
32015, 0.00
32017, 0.00
32019, 0.18
32021, 0.00
32023, 0.00
32027, 0.47
32029, 0.00
32033, 0.05
32510, 0.00
33001, 0.08
33003, 0.03
33005, 0.03
33007, 0.03
33009, 0.01
33011, 0.14
33013, 0.05
33015, 0.11
33017, 0.09
33019, 0.07
34001, 0.52
34003, 0.37
34005, 0.22
34007, 0.38
34009, 0.12
34011, 0.43
34013, 0.30
34015, 0.30
34019, 0.07
34021, 0.18
34023, 0.17
